PERIOD;BRAND OWNER;BRAND;PACKAGE;WEIGHT;FAT;FAT ID;SKU;IF FLAVOURED;ADDITIVES;TASTE;VOLUME SALES;VALUE SALES;PRICE PER UNIT;NUMERIC SELLING DISTRIBIUTION (AVG);WEIGHTED SELLING DISTRIBIUTION (AVG);Average Sales Per Shop Selling
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.1400/KG;5%;5;TEOS GRECHESKIY 2SLOY.5% F 140G GRUSHA;FLAVOURED;FRUITS/BERRIES;PEAR;98,0216;643,9915632;6,569894;38,409933;69,880342;158,1172
MAT APR'19;DANONE GROUP;PROSTOKVASHINO;CUP;0.3350/KG;2,20%;3;PROSTOKVASHINO 2.2% F 335G CHERNIKA;FLAVOURED;FRUITS/BERRIES;BILBERRY;94,4306;438,9145704;4,648012;79,70996;94,4372;75,4998
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1000/KG;1,20%;2;NEZHNY 1.2% 100G H YAGODNOE MOROZHENOE;FLAVOURED;BERRY JUICE;BERRY ICE CREAM;94,0125;355,4243465;3,780607;53,568267;78,066;102,8211
MAT APR'19;DANONE GROUP;PROSTOKVASHINO;CUP;0.3350/KG;2,20%;3;PROSTOKVASHINO 2.2% F 335G KLUBNIKA;FLAVOURED;FRUITS/BERRIES;STRAWBERRY;89,7311;416,8998573;4,646102;79,66728;94,35679;71,9533
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;GROUP;0.1200/KG;2%;2;SAVUSHKIN 2% F 120G H LESNAYA YAGODA;FLAVOURED;FRUITS/BERRIES;FOREST BERRIES;87,2489;355,8733529;4,078829;61,003917;82,416125;87,5219
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;GROUP;0.1500/KG;2%;2;OPTIMAL 2% F BIO 150G H CHERNIKA&MALINA;FLAVOURED;FRUITS/BERRIES;BILBERRY & RASPBERRY;86,9732;366,4220729;4,213046;45,687242;68,428833;95,4284
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.0950/KG;0,10%;1;NEZHNY LYOGKIY 0.1% 95G H SOK LESN.YAGOD;FLAVOURED;JUICE;FOREST BERRIES;83,2033;331,729155;3,986971;61,335133;76,412908;84,546
MAT APR'19;BABUSHKINA KRYNKA;BABUSHKINA KRYNKA;CUP;0.3100/KG;6%;6;BAB.KRYNKA 6% F 310G PERSIK-MARAKUYA;FLAVOURED;FRUITS/BERRIES;PEACH & MARACUJA / PASSION FRUIT;82,2555;349,1623936;4,244852;35,79835;57,51142;133,1582
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1100/KG;5%;5;NEZHNY SLIVOCHNY 5% 110G H SOK KLUBNIKI;FLAVOURED;JUICE;STRAWBERRY;79,5717;318,6214227;4,004205;40,051725;69,99075;119,9257
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.1400/KG;5%;5;TEOS GRECHESKIY 2SLOY.5% F 140G MALINA;FLAVOURED;FRUITS/BERRIES;RASPBERRY / MALINA;78,7488;516,0925941;6,553657;34,235817;64,9529;143,4323
