Год_месяц;Клиент;Подкатегория;СЕГМЕНТ;Формат ТТ;Способ обработки;Наименование Товара в Сети;Производитель;Бренд;Тип упаковки;Масса;Наполнитель;Сквозное Имя;Продажи в кг;Продажи в руб;Offtake в кг
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ДРУЖБА Плавленый продукт пастообразн 50%250г пл/ван (РЗПС):6;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;ПАСТООБРАЗНЫЙ;0.25;-;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ 0,25 кг 50% ПАСТООБРАЗНЫЙ;68106.75;18475511.29;128.9900568
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ДРУЖБА Плавленый продукт пастообразн 50%250г пл/ван (РЗПС):6;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;ПАСТООБРАЗНЫЙ;0.25;-;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ 0,25 кг 50% ПАСТООБРАЗНЫЙ;434281.75;130174037.1;29.44083452
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ДРУЖБА Плавленый продукт пастообразны55%пл/ван250г(РЗПС):12;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;РОСТОВСКИЙ ЗПС;СТАКАН;0.25;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ РОСТОВСКИЙ ЗПС 0,25 кг 55% СТАКАН дружба;17883.5;5271228.05;45.97300771
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ДРУЖБА Плавленый продукт пастообразны55%пл/ван250г(РЗПС):12;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;РОСТОВСКИЙ ЗПС;СТАКАН;0.25;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ РОСТОВСКИЙ ЗПС 0,25 кг 55% СТАКАН дружба;108637.25;34686578.62;8.642581543
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ДРУЖБА Плавленый продукт пастообразны55%пл/ван250г(РЗПС):6;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;СТАКАН;0.25;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ ПЕРЕЯСЛАВЛЬ 0,25 кг 55% СТАКАН дружба;6914;1932628.324;17.9119171
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ДРУЖБА Плавленый продукт пастообразны55%пл/ван250г(РЗПС):6;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;СТАКАН;0.25;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ ПЕРЕЯСЛАВЛЬ 0,25 кг 55% СТАКАН дружба;44152.25;12707726.96;3.605442593
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Гипермаркет;-;ДРУЖБА старая Плав прод с сыром 55% фольга 70г(Орбита):36;ОРБИТА;ОРБИТА;ЛОМТЕВОЙ;0.07;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ОРБИТА 0,07 кг 55% ЛОМТЕВОЙ дружба;2683.8;423113.517;36.76438356
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Дискаунтер;-;ДРУЖБА старая Плав прод с сыром 55% фольга 70г(Орбита):36;ОРБИТА;ОРБИТА;ЛОМТЕВОЙ;0.07;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ОРБИТА 0,07 кг 55% ЛОМТЕВОЙ дружба;11.76;1910.497;1.306666667
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ДРУЖБА Сыр плавл 55% ван 400г(Карат):16;КАРАТ ОАО;КАРАТ;СТАКАН;0.4;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ КАРАТ 0,4 кг 55% СТАКАН дружба;2;644.996;2
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ТОСТОВЫЙ;Дискаунтер;-;ДРУЖБА Сыр плавл 55% тост 150 гр(РЗПС):10;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;РОСТОВСКИЙ ЗПС;ТОСТОВЫЙ;0.15;дружба;СЫР ПЛАВЛЕНЫЙ ТОСТОВЫЙ РОСТОВСКИЙ ЗПС 0,15 кг 55% ТОСТОВЫЙ дружба;3.45;1337.292;1.15
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Гипермаркет;-;ДРУЖБА Сыр плавл 55% фол 90г(Карат):12;КАРАТ ОАО;КАРАТ;ЛОМТЕВОЙ;0.09;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ КАРАТ 0,09 кг 55% ЛОМТЕВОЙ дружба;6.93;1988.393;1.7325
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Дискаунтер;-;ДРУЖБА Сыр плавл 55% фол 90г(Карат):12;КАРАТ ОАО;КАРАТ;ЛОМТЕВОЙ;0.09;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ КАРАТ 0,09 кг 55% ЛОМТЕВОЙ дружба;0.09;22.902;0.09
